,City,Rating,Votes,Price Range,Online Delivery,Table Booking,Average Cost for Two
21144,New Delhi,3.2,40,1,No,No,350
21145,New Delhi,3.0,39,2,Yes,No,600
21146,New Delhi,3.2,22,2,No,No,550
21147,New Delhi,3.2,26,2,No,No,650
21148,New Delhi,3.3,17,2,No,No,700
21149,New Delhi,0,3,1,No,No,200
21150,New Delhi,2.7,16,1,No,No,300
21151,New Delhi,2.8,10,1,No,No,150
21152,New Delhi,0,0,1,No,No,200
21153,New Delhi,2.4,11,1,Yes,No,350
21154,New Delhi,3.2,10,1,No,No,400
21155,New Delhi,3.2,14,1,No,No,250
21156,New Delhi,2.9,11,1,No,No,250
21157,New Delhi,3.1,11,1,No,No,300
21158,New Delhi,3.2,8,1,No,No,200
21159,New Delhi,3.1,9,1,No,No,150
21160,New Delhi,3.0,8,1,No,No,250
21161,New Delhi,2.9,14,1,No,No,400
21162,New Delhi,0,3,1,No,No,250
21163,New Delhi,3.0,10,1,No,No,450
21164,New Delhi,2.8,8,2,No,No,600
21165,New Delhi,3.2,12,1,No,No,350
21166,New Delhi,4.1,1821,4,Yes,Yes,2000
21167,New Delhi,4.4,1636,3,No,No,1300
21168,New Delhi,4.3,3530,2,No,No,800
21169,New Delhi,4.2,1526,2,No,Yes,700
21170,New Delhi,4.1,501,4,No,Yes,2000
21171,New Delhi,3.9,303,2,Yes,Yes,800
21172,New Delhi,3.7,984,4,Yes,Yes,2500
21173,New Delhi,4.4,609,4,No,Yes,2500
21174,Gurgaon,4.4,146,3,No,Yes,1200
21175,New Delhi,3.9,2589,4,No,No,2200
21176,New Delhi,3.9,2639,3,Yes,Yes,1100
21177,New Delhi,4.4,2826,4,No,No,6500
21178,New Delhi,4.1,826,3,Yes,Yes,1400
21179,New Delhi,4.1,1653,3,No,No,1000
21180,Gurgaon,3.8,1317,3,No,Yes,1500
21181,New Delhi,4.1,1384,2,Yes,Yes,700
21182,New Delhi,4.4,2777,3,No,No,1500
21183,New Delhi,4.3,3986,2,No,No,600
21184,New Delhi,4.1,3164,3,No,No,1600
21185,New Delhi,4.1,2514,3,No,No,1500
21186,New Delhi,3.7,139,4,No,Yes,3600
21187,New Delhi,4.4,64,3,No,Yes,1600
21188,New Delhi,3.9,183,4,No,Yes,6000
21189,New Delhi,3.8,154,1,No,No,200
21190,New Delhi,3.7,162,1,No,No,450
21191,New Delhi,3.8,134,4,No,Yes,5000
21192,New Delhi,3.8,79,4,No,No,2500
21193,New Delhi,3.7,65,3,No,No,1000
21194,New Delhi,3.1,53,2,No,No,550
21195,New Delhi,3.6,64,4,No,Yes,4200
21196,New Delhi,3.6,25,1,No,No,200
21197,New Delhi,3.2,19,2,No,No,500
21198,New Delhi,3.5,42,4,No,No,4100
21199,New Delhi,3.3,39,1,No,No,400
21200,New Delhi,2.7,19,2,No,No,500
21201,New Delhi,3.5,39,1,No,No,300
21202,New Delhi,3.3,13,1,No,No,400
21203,New Delhi,3.1,5,4,No,No,2000
21204,New Delhi,3.1,15,4,No,No,5000
21205,New Delhi,0,3,2,No,No,800
21206,New Delhi,3.7,89,2,Yes,No,800
21207,New Delhi,2.6,114,2,Yes,No,500
21208,New Delhi,3.4,112,2,No,No,800
21209,New Delhi,3.4,104,2,No,No,750
21210,New Delhi,3.8,49,2,Yes,No,800
21211,New Delhi,3.3,157,2,Yes,No,700
21212,New Delhi,3.9,109,1,No,No,150
21213,New Delhi,4.0,24,2,Yes,No,700
21214,New Delhi,3.8,68,1,Yes,No,350
21215,New Delhi,2.6,76,2,No,No,750
21216,New Delhi,2.8,87,2,Yes,No,500
21217,New Delhi,3.1,104,3,Yes,Yes,1500
21218,New Delhi,3.8,24,3,Yes,No,1000
21219,New Delhi,3.5,95,1,No,No,350
21220,New Delhi,3.8,56,3,Yes,No,1100
21221,New Delhi,3.5,65,1,Yes,No,300
21222,New Delhi,3.6,30,1,Yes,No,200
21223,New Delhi,2.3,82,2,Yes,No,700
21224,New Delhi,3.7,23,1,No,No,300
21225,New Delhi,3.3,65,1,Yes,No,400
21226,New Delhi,3.8,472,2,No,No,600
21227,New Delhi,3.7,601,3,Yes,Yes,1800
21228,New Delhi,4.1,561,1,Yes,No,400
21229,New Delhi,3.2,600,2,No,Yes,900
21230,New Delhi,3.0,496,3,No,No,1600
21231,New Delhi,4.0,460,3,Yes,Yes,1650
21232,New Delhi,3.6,386,3,Yes,Yes,1200
21233,New Delhi,3.8,460,1,Yes,No,350
21234,New Delhi,3.7,390,3,Yes,No,1000
21235,New Delhi,4.2,372,2,Yes,No,550
21236,New Delhi,3.8,354,4,Yes,Yes,2000
21237,New Delhi,3.7,308,2,Yes,No,600
21238,New Delhi,3.7,338,2,Yes,Yes,800
21239,New Delhi,3.7,269,2,Yes,No,550
21240,New Delhi,3.8,238,3,No,Yes,1800
21241,New Delhi,3.7,304,2,No,No,800
21242,New Delhi,3.8,306,2,Yes,Yes,900
21243,New Delhi,3.8,303,2,Yes,No,900
21244,New Delhi,4.1,242,3,Yes,Yes,1700
21245,New Delhi,4.1,352,1,No,No,200
21246,New Delhi,4.1,1821,4,Yes,Yes,2000
21247,New Delhi,4.4,1636,3,No,No,1300
21248,New Delhi,4.3,3530,2,No,No,800
